Aircraft;Engine;Role;Registration;Seats;Cargo Capacity (t);Flight Number;Date;Take-off Time (UTC);Origin Airport;Destination Airport;Distance OD (km);Distance Flown (km);CO2 (kgCO2e);Contrails (kgCO2e)
A20N;PW1127G-JM;PAX;EC-NFH;186.0;0.0;VY7835;15/06/2023;15/06/2023 16:01;EGKK;LEBL;1109.0539170109523;1155.727518747395;11253.96949884314;0.0
A20N;PW1127G-JM;PAX;EC-NIJ;186.0;0.0;VY7830;15/06/2023;15/06/2023 05:12;LEBL;EGKK;1109.0539170109523;1255.3679525617256;11965.946434361114;16370.29526583885
A20N;PW1127G-JM;PAX;EC-NCT;186.0;0.0;VY3212;31/12/2023;31/12/2023 10:52;LEBL;GCXO;2194.5028527808254;;19808.910939001988;
A20N;PW1127G-JM;PAX;EC-NCF;186.0;0.0;VY6213;09/10/2023;09/10/2023 15:49;LEMG;LIRF;1548.024409745077;1590.2383526128149;14352.387644152845;41217.80188024764
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY8748;02/11/2023;02/11/2023 13:50;EGCC;LEBL;1379.1562209387153;1492.7416328469037;20147.16891768108;11686.42362828528
A320;V2527-A5;PAX;EC-MDZ;180.0;0.0;Unknown;18/10/2023;18/10/2023 06:20;LEPA;LEBL;201.96688121093285;278.7804560739648;5426.16065419146;0.0
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY2610;04/09/2023;04/09/2023 13:38;LEMG;LEBB;749.082899877611;989.4961014965464;12514.924813405922;0.0
A20N;PW1127G-JM;PAX;EC-NBA;186.0;0.0;VY1305;31/07/2023;31/07/2023 10:59;LEAL;LEBL;403.8531061870535;522.5130016409029;6672.7191811723305;0.0
A20N;PW1127G-JM;PAX;EC-NCT;186.0;0.0;VY2469;24/04/2023;24/04/2023 12:53;EDDN;LEBL;1149.5622304714616;1226.7299937007938;11754.990305318752;0.0
A321;V2533-A5;PAX;EC-MHA;220.0;0.0;VY8600;03/04/2023;03/04/2023 16:41;LFPO;LIMJ;687.5872639010054;821.4285229586113;12584.942406020058;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY2507;13/02/2023;13/02/2023 20:38;LEZL;LEBB;701.1541526362191;787.9701502190682;10632.932103022114;434360.293771607
A321;V2533-A5;PAX;EC-MQL;220.0;0.0;VY3005;10/03/2023;10/03/2023 10:26;GCLP;LEBL;2174.4948701069866;2446.395026644201;31270.04995106509;0.0
A320;V2527-A5;PAX;EC-MGE;186.0;0.0;VY3149;29/03/2023;29/03/2023 14:53;LEPA;LEMG;709.1252076593893;738.4369522050363;10184.016410636985;0.0
A320;CFM56-5B4/3;PAX;EC-LOC;180.0;0.0;VY6250;28/04/2023;28/04/2023 07:20;LFPO;LIRF;1088.6659905506278;1247.9830361924337;14932.163157018147;1518.4804237227183
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;VY8274;26/09/2023;26/09/2023 17:48;LIRF;LFPO;1088.6659905506278;1148.6145036213366;16256.49891691747;0.0
A320;V2527-A5;PAX;EC-MNZ;186.0;0.0;VY8306;19/11/2023;19/11/2023 15:04;LEBL;EHAM;1241.1362442046452;1427.4118544527123;16606.96400937805;29148.067223701677
A321;V2533-A5;PAX;EC-MGZ;220.0;0.0;VY1884;18/10/2023;18/10/2023 18:27;EDAZ;EDDB;29.08069820404531;;4720.301470745485;
A320;CFM56-5B6/P;PAX;EC-KDT;180.0;0.0;VY8472;26/06/2023;26/06/2023 16:30;LEVC;EGKK;1296.596941101017;1502.4956761336373;17297.6035361244;8050.631542360213
A321;V2533-A5;PAX;EC-MHB;220.0;0.0;Unknown;11/08/2023;11/08/2023 12:08;LEBL;LIPZ;951.7499664555206;1060.2421189728573;15255.16532303636;0.0
A320;CFM56-5B4/3;PAX;EC-MBF;180.0;0.0;VY1814;01/04/2023;01/04/2023 14:32;EKCH;GCTS;3849.304846332184;4134.415078325496;43173.59137135554;133997.78415467383
A320;V2527-A5;PAX;EC-LVV;180.0;0.0;VY6367;21/06/2023;21/06/2023 06:56;LEST;LEZL;645.6782805549823;769.5160930434905;10477.538209504186;-3912.014777836399
A320;CFM56-5B6/P;PAX;EC-KHN;180.0;0.0;VY8305;08/10/2023;08/10/2023 19:30;EHAM;LEBL;1241.1362442046452;1413.743538664086;16468.83610402878;0.0
A320;V2527-A5;PAX;EC-MJB;186.0;0.0;VY6616;25/02/2023;25/02/2023 17:22;LEMG;EGKK;1645.2059978045324;1723.8476944775823;19369.52211636345;0.0012572220184021
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;VY3713;08/06/2023;08/06/2023 06:42;LEMH;LEBL;241.0492606878899;320.9136380803042;6931.57982389961;0.0
A320;CFM56-5B4/3;PAX;EC-LOP;180.0;0.0;VY6200;28/10/2023;28/10/2023 08:19;LSGG;LEBL;637.4468259188732;695.2320059163079;9769.632694589176;-4274.230866325737
A320;V2527-A5;PAX;EC-MJC;186.0;0.0;VY3696;27/06/2023;27/06/2023 19:47;LEIB;LEVC;173.93505387158268;282.76387335881697;5470.306583874598;0.0
A320;V2527-A5;PAX;EC-MXG;186.0;0.0;VY6212;09/07/2023;09/07/2023 15:17;LIRF;LEBL;847.9678302098054;892.0348459477634;11617.093428635664;0.0
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY3928;24/04/2023;24/04/2023 15:31;LEGR;LEPA;625.682054569327;710.0685567008544;9907.760599938443;0.0
A20N;PW1127G-JM;PAX;EC-NCS;186.0;0.0;Unknown;15/08/2023;15/08/2023 13:20;LOWW;LEBL;1369.6879770988733;1387.6316066795364;12902.0642569866;0.0
A320;V2527-A5;PAX;EC-MGE;186.0;0.0;VY6601;03/09/2023;03/09/2023 13:12;LICJ;LEBL;1002.6847625170096;1116.1884877175062;13706.277997043377;-12126.822413521932
A320;V2527-A5;PAX;EC-LUO;180.0;0.0;VY1431;09/12/2023;09/12/2023 13:54;LEBB;LEBL;466.810876844104;522.8025005174962;8163.89579490391;0.0
A320;CFM56-5B4/P;PAX;EC-JTR;180.0;0.0;VY7109;03/08/2023;03/08/2023 19:11;EGKK;LEST;1107.8245785187676;1159.219898287674;14103.395724922526;0.0
A320;CFM56-5B4/3;PAX;EC-MAN;180.0;0.0;VY6208;16/06/2023;16/06/2023 17:26;LEBL;LPPT;994.0003331037478;1080.928755794972;13378.224221838858;12770.31137654913
A320;V2527-A5;PAX;EC-MFL;180.0;0.0;VY6723;17/07/2023;17/07/2023 15:32;LDSP;LIRF;382.8319514827482;447.3433376533958;7434.800454774265;0.0
A320;V2527-A5;PAX;EC-MFL;180.0;0.0;VY1899;12/05/2023;12/05/2023 18:56;EDDL;LEBL;1167.4145868113608;1320.7143188453445;15605.53669559584;0.0
A320;CFM56-5B4/3;PAX;EC-LLJ;180.0;0.0;VY8746;01/12/2023;01/12/2023 11:01;LEBL;EGCC;1379.1562209387153;1501.1665822400548;17297.6035361244;12632.792655984556
A320;V2527-A5;PAX;EC-MES;186.0;0.0;VY3118;20/06/2023;20/06/2023 18:06;LEAL;GCXO;1821.7448648106365;1908.20527606648;21111.50961992024;324628.4748908803
A320;CFM56-5B4/3;PAX;EC-MBE;180.0;0.0;VY1870;21/03/2023;21/03/2023 10:05;LEBL;EKCH;1768.57318009677;2023.83372740086;22267.84169175088;-29346.920404699285
A20N;PW1127G-JM;PAX;EC-NIJ;186.0;0.0;VY2115;18/05/2023;18/05/2023 05:04;LEBL;LEMG;765.966389686389;826.6172655670408;8907.082563246855;-315.849595716601
A320;V2527-A5;PAX;EC-MFN;180.0;0.0;VY3214;13/11/2023;13/11/2023 18:59;LEBL;GCXO;2194.5028527808254;2278.9282651847807;24800.75956337989;443042.7239158376
A320;V2527-A5;PAX;EC-MKO;186.0;0.0;VY3954;28/07/2023;28/07/2023 05:12;LEPA;LEVC;276.30655386254153;279.43991475615485;5426.16065419146;0.0
